SampleSize	BIO2RDF_ResourceFrequency	BIO2RDF_Path_Indegree	BIO2RDF_Path_Outdegree	BIO2RDF_Path_Pagerank	BIO2RDF_RandomSample	BIO2RDF_ContextLiterals_Indegree	BIO2RDF_ContextLiterals_Outdegree	BIO2RDF_ContextLiterals_Pagerank	BIO2RDF_Simple_Indegree	BIO2RDF_Simple_Outdegree	BIO2RDF_Simple_Pagerank	BIO2RDF_UniqueLiterals_Indegree	BIO2RDF_UniqueLiterals_Outdegree	BIO2RDF_UniqueLiterals_Pagerank	BIO2RDF_WithoutLiterals_Indegree	BIO2RDF_WithoutLiterals_Outdegree	BIO2RDF_WithoutLiterals_Pagerank	DBpedia_ResourceFrequency	DBpedia_Path_Indegree	DBpedia_Path_Outdegree	DBpedia_Path_Pagerank	DBpedia_RandomSample	DBpedia_ContextLiterals_Indegree	DBpedia_ContextLiterals_Outdegree	DBpedia_ContextLiterals_Pagerank	DBpedia_Simple_Indegree	DBpedia_Simple_Outdegree	DBpedia_Simple_Pagerank	DBpedia_UniqueLiterals_Indegree	DBpedia_UniqueLiterals_Outdegree	DBpedia_UniqueLiterals_Pagerank	DBpedia_WithoutLiterals_Indegree	DBpedia_WithoutLiterals_Outdegree	DBpedia_WithoutLiterals_Pagerank	LinkedGeoData_ResourceFrequency	LinkedGeoData_Path_Indegree	LinkedGeoData_Path_Outdegree	LinkedGeoData_Path_Pagerank	LinkedGeoData_RandomSample	LinkedGeoData_ContextLiterals_Indegree	LinkedGeoData_ContextLiterals_Outdegree	LinkedGeoData_ContextLiterals_Pagerank	LinkedGeoData_Simple_Indegree	LinkedGeoData_Simple_Outdegree	LinkedGeoData_Simple_Pagerank	LinkedGeoData_UniqueLiterals_Indegree	LinkedGeoData_UniqueLiterals_Outdegree	LinkedGeoData_UniqueLiterals_Pagerank	LinkedGeoData_WithoutLiterals_Indegree	LinkedGeoData_WithoutLiterals_Outdegree	LinkedGeoData_WithoutLiterals_Pagerank	Metalex_ResourceFrequency	Metalex_Path_Indegree	Metalex_Path_Outdegree	Metalex_Path_Pagerank	Metalex_RandomSample	Metalex_ContextLiterals_Indegree	Metalex_ContextLiterals_Outdegree	Metalex_ContextLiterals_Pagerank	Metalex_Simple_Indegree	Metalex_Simple_Outdegree	Metalex_Simple_Pagerank	Metalex_UniqueLiterals_Indegree	Metalex_UniqueLiterals_Outdegree	Metalex_UniqueLiterals_Pagerank	Metalex_WithoutLiterals_Indegree	Metalex_WithoutLiterals_Outdegree	Metalex_WithoutLiterals_Pagerank	OpenBioMed_ResourceFrequency	OpenBioMed_Path_Indegree	OpenBioMed_Path_Outdegree	OpenBioMed_Path_Pagerank	OpenBioMed_RandomSample	OpenBioMed_ContextLiterals_Indegree	OpenBioMed_ContextLiterals_Outdegree	OpenBioMed_ContextLiterals_Pagerank	OpenBioMed_Simple_Indegree	OpenBioMed_Simple_Outdegree	OpenBioMed_Simple_Pagerank	OpenBioMed_UniqueLiterals_Indegree	OpenBioMed_UniqueLiterals_Outdegree	OpenBioMed_UniqueLiterals_Pagerank	OpenBioMed_WithoutLiterals_Indegree	OpenBioMed_WithoutLiterals_Outdegree	OpenBioMed_WithoutLiterals_Pagerank	SemanticWebDogFood_ResourceFrequency	SemanticWebDogFood_Path_Indegree	SemanticWebDogFood_Path_Outdegree	SemanticWebDogFood_Path_Pagerank	SemanticWebDogFood_RandomSample	SemanticWebDogFood_ContextLiterals_Indegree	SemanticWebDogFood_ContextLiterals_Outdegree	SemanticWebDogFood_ContextLiterals_Pagerank	SemanticWebDogFood_Simple_Indegree	SemanticWebDogFood_Simple_Outdegree	SemanticWebDogFood_Simple_Pagerank	SemanticWebDogFood_UniqueLiterals_Indegree	SemanticWebDogFood_UniqueLiterals_Outdegree	SemanticWebDogFood_UniqueLiterals_Pagerank	SemanticWebDogFood_WithoutLiterals_Indegree	SemanticWebDogFood_WithoutLiterals_Outdegree	SemanticWebDogFood_WithoutLiterals_Pagerank
0.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.01	3.863987635239567E-4	0.3095108964451314	3.219989696032973E-5	0.30641965996908804	0.011915287120041189	3.863987635239567E-4	6.460587326120557E-7	0.01005410200927357	3.863987635239567E-4	6.460587326120557E-7	3.863987635239567E-4	3.863987635239567E-4	6.460587326120557E-7	3.863987635239567E-4	3.863987635239567E-4	6.445131375579598E-7	3.863987635239567E-4	9.921072786651591E-5	0.22022999965422252	1.256751612226758E-4	0.16104009866184113	0.008710271852489997	0.0	0.007092315039283289	0.0	0.0	0.007092315039283289	0.0	0.012754981657775796	0.007092315039283289	0.017361025228712964	0.012754981657775796	0.007731348496921879	0.017361025228712964	2.2522522522522523E-4	0.18388616113841116	0.01764264264264264	0.17236523939021667	0.009262815785398296	2.2522522522522523E-4	1.8770124735832002E-4	2.2522522522522523E-4	2.2522522522522523E-4	4.812504812504813E-6	2.2522522522522523E-4	2.2522522522522523E-4	1.8770124735832002E-4	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	0.0	4.056795131845842E-5	0.0	2.613398480496841E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002692391064094667	0.4665948275862069	0.12130310782830293	0.00886284173413356	0.0	0.08041650228021448	0.0	0.0	0.08041650228021448	0.0	0.0	0.08041650228021448	0.0	0.0	0.08472684710780068	0.0	0.019448229825414696	0.0332819170878747	4.469253753109542E-4	0.08668103765837933	0.09037568392845352	0.019919894697579273	0.009982493949428243	0.019919894697579273	0.019919894697579273	0.009982493949428243	0.019919894697579273	0.019919894697579273	0.009982493949428243	0.019919894697579273	0.019919894697579273	0.009982493949428243	0.019919894697579273
0.02	3.863987635239567E-4	0.3118299938176198	3.219989696032973E-5	0.30951127047913446	0.02197580669757865	3.863987635239567E-4	3.876244204018547E-4	0.020140470376094798	3.863987635239567E-4	3.876244204018547E-4	3.863987635239567E-4	3.863987635239567E-4	3.876244204018547E-4	3.863987635239567E-4	3.863987635239567E-4	3.875996908809892E-4	3.863987635239567E-4	2.600762669671822E-4	0.30799192609582643	2.5753707811941785E-4	0.252088351909268	0.017287282866777266	0.0	0.0246437562106824	0.0	0.0	0.02342183007622526	0.0	0.0243438440787745	0.0246437562106824	0.03284147859346313	0.0243438440787745	0.022761061471156818	0.02143204995648694	2.2522522522522523E-4	0.18388616113841116	0.032469969969969974	0.17236523939021667	0.019803802580964782	2.2522522522522523E-4	0.011408085775144901	2.2522522522522523E-4	2.2522522522522523E-4	0.0091315568486898	2.2522522522522523E-4	2.2522522522522523E-4	0.011408085775144901	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	0.0	4.056795131845842E-5	0.0	8.707704874506153E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004847563477887771	0.46875	0.1350642699724041	0.017217751083433118	0.0	0.2736047475552298	0.0	0.0	0.2736047475552298	0.0	0.0	0.2736047475552298	0.0	0.0	0.2811478510035056	0.0	0.02442512174759613	0.060697843329108964	0.004725657491628786	0.09137941759422678	0.1059426701419559	0.02681201375825636	0.027610440474626737	0.02681201375825636	0.02681201375825636	0.027610440474626737	0.02681201375825636	0.02681201375825636	0.027610440474626737	0.02681201375825636	0.02681201375825636	0.027610440474626737	0.02681201375825636
0.03	3.863987635239567E-4	0.31260374652241113	3.219989696032973E-5	0.3095120170015456	0.030497182637815725	3.863987635239567E-4	3.8810200927357033E-4	0.02710326017516744	3.863987635239567E-4	3.8810200927357033E-4	3.863987635239567E-4	3.863987635239567E-4	3.8810200927357033E-4	3.863987635239567E-4	3.863987635239567E-4	3.8807109737248847E-4	3.863987635239567E-4	4.4038631550132154E-4	0.37130683052381747	6.464355076208714E-4	0.3230210002189924	0.02735347694456163	0.012401791608954356	0.043778259123065925	0.012401791608954356	0.012401791608954356	0.04376856133563293	0.012401791608954356	0.04336743955302151	0.043778259123065925	0.04339212683061967	0.04336743955302151	0.045170142801630356	0.04265656727922521	2.2522522522522523E-4	0.18388616113841116	0.03582957957957958	0.17236523939021667	0.02871247420069991	2.2522522522522523E-4	0.01876208724396786	2.2522522522522523E-4	2.2522522522522523E-4	0.01875004086420353	2.2522522522522523E-4	2.2522522522522523E-4	0.01876208724396786	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	1.2677484787018255E-4	4.056795131845842E-5	2.0283975659229209E-4	0.001587069916574852	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.029877610138584386	0.46875	0.23911837023174323	0.027119041107219456	0.0	0.33280519612730985	0.0	0.0	0.4364969938500138	0.0	0.0	0.33280519612730985	0.0	0.0	0.44307820579506163	0.0	0.028070088078265703	0.08090845621921365	0.017425855499252067	0.136205825257124	0.11973032087779079	0.032960819009144854	0.05696922479421983	0.032960819009144854	0.032960819009144854	0.05651036987327631	0.032960819009144854	0.032960819009144854	0.05696922479421983	0.032960819009144854	0.032960819009144854	0.05104175901288881	0.032960819009144854
0.04	3.863987635239567E-4	0.3126049922720247	3.219989696032973E-5	0.31261035394126735	0.040483714940752466	3.863987635239567E-4	3.886599690880989E-4	0.036384592478104064	3.863987635239567E-4	3.886599690880989E-4	3.863987635239567E-4	3.863987635239567E-4	3.886599690880989E-4	3.863987635239567E-4	3.863987635239567E-4	3.8861823802163834E-4	3.863987635239567E-4	7.078818662463544E-4	0.42877004847414063	8.619967180958716E-4	0.3829024561727043	0.03600172349853113	0.02136830417671389	0.06391465289232254	0.03243810964595944	0.02136830417671389	0.06471320573606072	0.03243810964595944	0.06230810271293383	0.06391465289232254	0.0605452135878511	0.06230810271293383	0.06578147279456671	0.06103272241378387	2.2522522522522523E-4	0.18388616113841116	0.036505255255255255	0.17236523939021667	0.03934693178897344	2.2522522522522523E-4	0.06507791454693851	2.2522522522522523E-4	2.2522522522522523E-4	0.06506346252133964	2.2522522522522523E-4	2.2522522522522523E-4	0.06507791454693851	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	0.0012170385395537525	4.056795131845842E-5	5.070993914807302E-4	0.0021228474479469306	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.0	1.0141987829614604E-4	0.0	0.08388678747361014	0.46875	0.24037258722673588	0.03720064921415087	0.0	0.3380908186221849	0.0	0.0	0.44467115931830004	0.0	0.0	0.3380908186221849	0.0	0.0	0.44706058960315764	0.0	0.04097700096266026	0.1171467442145856	0.023805361566274216	0.15042875374333745	0.13192226267916493	0.040718546624969126	0.06684963130354454	0.04054026827360811	0.040718546624969126	0.07217914122111961	0.04054026827360811	0.040718546624969126	0.06684963130354454	0.04054026827360811	0.040718546624969126	0.06657764200898063	0.04054026827360811
0.05	3.863987635239567E-4	0.3126066646058732	3.219989696032973E-5	0.31261265378670783	0.051700242503864326	3.863987635239567E-4	3.896182380216383E-4	0.047211546110252446	3.863987635239567E-4	3.896182380216383E-4	3.863987635239567E-4	3.863987635239567E-4	3.896182380216383E-4	3.863987635239567E-4	3.863987635239567E-4	3.8956723338485317E-4	3.863987635239567E-4	0.0010913094941898073	0.47542750390479654	0.0012286190200127844	0.4196263229418968	0.04544155420297545	0.04332561130775724	0.08162016267739829	0.03972263620873649	0.04332561130775724	0.08224304415402643	0.04161147965083616	0.06857520199789169	0.08162016267739829	0.06816469142649535	0.06857520199789169	0.08870819298187482	0.06754075566892671	2.2522522522522523E-4	0.18388616113841116	0.04607732732732733	0.17236523939021667	0.047788281438249876	2.2522522522522523E-4	0.08239042130447911	2.2522522522522523E-4	2.2522522522522523E-4	0.08237577459883226	2.2522522522522523E-4	2.2522522522522523E-4	0.08239042130447911	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	0.0014198782961460446	4.056795131845842E-5	5.070993914807302E-4	0.0028960425785249833	1.0141987829614606E-5	0.0	1.0141987829614604E-4	1.0141987829614606E-5	0.0	1.0141987829614604E-4	1.0141987829614606E-5	0.0	1.0141987829614604E-4	1.0141987829614606E-5	0.0	1.0141987829614604E-4	0.0	0.1389646375791696	0.4709051724137931	0.44956616451430453	0.04687091666855247	0.0	0.4816797247292937	0.0	0.0	0.533069830672201	0.0	0.0	0.4816797247292937	0.0	0.0	0.4876603281775696	0.0	0.04465868839305171	0.14672203045487928	0.023879302544584573	0.1648694343905606	0.14394913324818673	0.04527803790522226	0.08398567046716941	0.045835199113152945	0.04527803790522226	0.07695472038279413	0.045835199113152945	0.04527803790522226	0.08398567046716941	0.045835199113152945	0.04527803790522226	0.07685843107116185	0.045835199113152945
0.06	3.863987635239567E-4	0.3141543833075734	3.219989696032973E-5	0.3141731916537867	0.06214716254507986	3.863987635239567E-4	3.907372488408037E-4	0.05575229469345699	3.863987635239567E-4	3.907372488408037E-4	3.863987635239567E-4	3.863987635239567E-4	3.907372488408037E-4	3.863987635239567E-4	3.863987635239567E-4	3.9064451313755794E-4	3.863987635239567E-4	0.0016056391455161671	0.5073146155368397	0.0015315839962837825	0.4667147324807448	0.054639107928284386	0.0578357119393824	0.1080348403200314	0.053187409849473184	0.0578357119393824	0.108663530561115	0.053187409849473184	0.07043855144767458	0.1080348403200314	0.07085174837496619	0.07043855144767458	0.11344821833368017	0.07019834514753365	2.2522522522522523E-4	0.18388616113841116	0.06367560742560742	0.1723661700729655	0.05753772233933246	2.2522522522522523E-4	0.10098579519718409	2.2522522522522523E-4	2.2522522522522523E-4	0.10097723661395105	2.2522522522522523E-4	2.2522522522522523E-4	0.10098579519718409	2.2522522522522523E-4	2.2522522522522523E-4	0.0	2.2522522522522523E-4	1.0141987829614606E-5	0.0018356997971602435	4.056795131845842E-5	5.070993914807302E-4	0.0038879665799617354	1.0141987829614606E-5	3.657076653606636E-8	1.0141987829614604E-4	1.0141987829614606E-5	3.657076653606636E-8	1.0141987829614604E-4	1.0141987829614606E-5	3.657076653606636E-8	1.0141987829614604E-4	1.0141987829614606E-5	3.657076653606636E-8	1.0141987829614604E-4	0.0	0.1702146375791696	0.9493534482758621	0.44956616451430453	0.05539174757798003	0.0	0.8736760184893421	0.0	0.0	0.9373924135856819	0.0	0.0	0.8736760184893421	0.0	0.0	0.9579741379310345	0.0	0.05082441491244301	0.1826505899126336	0.02713965788965095	0.16820867464829667	0.1554439966471471	0.05132437773161255	0.09858687888556295	0.04995611369385363	0.05132437773161255	0.09673780750300084	0.04995611369385363	0.05132437773161255	0.09858687888556295	0.04995611369385363	0.05132437773161255	0.09305946420233034	0.04995611369385363
0.07	3.863987635239567E-4	0.31724799227202477	3.219989696032973E-5	0.31420737557959816	0.07283241452859333	3.863987635239567E-4	3.924466769706337E-4	0.06580623750643998	3.863987635239567E-4	3.924466769706337E-4	3.863987635239567E-4	3.863987635239567E-4	3.924466769706337E-4	3.863987635239567E-4	3.863987635239567E-4	3.922519319938176E-4	3.863987635239567E-4	0.002147548603251023	0.5445779020365342	0.0016976802151627821	0.5083895011671795	0.0634421675913476	0.06811580945336543	0.12831772362881724	0.06676259505429112	0.06745516102240547	0.12725047955848598	0.06676259505429112	0.07511742409763718	0.12831772362881724	0.07321432152314816	0.07511742409763718	0.13378161845884565	0.07430807606833825	2.2522522522522523E-4	0.18388616113841116	0.08824563199563201	0.1723661700729655	0.06857710416155711	2.2522522522522523E-4	0.1322280514738434	2.2522522522522523E-4	2.2522522522522523E-4	0.1322174474057256	2.2522522522522523E-4	2.2522522522522523E-4	0.1322280514738434	2.2522522522522523E-4	2.2522522522522523E-4	5.087814563221452E-5	2.2522522522522523E-4	1.0141987829614606E-5	0.002647058823529412	4.056795131845842E-5	6.338742393509128E-4	0.005214456517180109	1.0141987829614606E-5	9.142691634016592E-8	1.0141987829614604E-4	1.0141987829614606E-5	9.142691634016592E-8	1.0141987829614604E-4	1.0141987829614606E-5	9.142691634016592E-8	1.0141987829614604E-4	1.0141987829614606E-5	9.142691634016592E-8	1.0141987829614604E-4	0.0	0.20254772167487686	0.9493534482758621	0.44956616451430453	0.06472141962443706	0.0	0.9172908227674961	0.0	0.0	0.9394716102721936	0.0	0.0	0.9172908227674961	0.0	0.0	0.9579741379310345	0.0	0.05609035604261832	0.19742799437569583	0.031070701324779376	0.18984763465381949	0.16315642673376135	0.05658286734344942	0.10892269676024993	0.05658286734344942	0.05658286734344942	0.10990168985106796	0.05658286734344942	0.05658286734344942	0.10892269676024993	0.05658286734344942	0.05658286734344942	0.10257869784578784	0.06047418727517839
0.08	3.863987635239567E-4	0.3203418964451314	3.219989696032973E-5	0.31579493199381764	0.08320529165378636	3.863987635239567E-4	0.001941123647604328	0.07743822874806801	3.863987635239567E-4	0.001941123647604328	3.863987635239567E-4	3.863987635239567E-4	0.001941123647604328	3.863987635239567E-4	3.863987635239567E-4	3.9522256568778983E-4	3.863987635239567E-4	0.002401718440438112	0.5794125936943854	0.0019554062967990383	0.5267835919877065	0.07409082419542312	0.07017960147888955	0.14057367821146471	0.07064154009204655	0.0698674042713346	0.14264683727054114	0.07049789069581892	0.08041174064196852	0.14057367821146471	0.07789673541171953	0.08041174064196852	0.15650350589150852	0.07772591113159423	2.2522522522522523E-4	0.18501228726453728	0.11237714987714986	0.17349508824733825	0.07859415269222221	2.2522522522522523E-4	0.14784576465730506	2.2522522522522523E-4	2.2522522522522523E-4	0.1482007102072056	2.2522522522522523E-4	2.2522522522522523E-4	0.14784576465730506	2.2522522522522523E-4	2.2522522522522523E-4	0.003171284349555163	2.2522522522522523E-4	1.0141987829614606E-5	0.0030527383367139962	4.056795131845842E-5	9.22920892494929E-4	0.006732692194681311	1.0141987829614606E-5	1.4628306614426545E-7	1.0141987829614604E-4	1.0141987829614606E-5	1.4628306614426545E-7	1.0141987829614604E-4	1.0141987829614606E-5	1.4628306614426545E-7	1.0141987829614604E-4	1.0141987829614606E-5	1.4628306614426545E-7	1.0141987829614604E-4	0.0	0.22413243314567205	0.9493534482758621	0.44956616451430453	0.07395298088138483	0.0	0.9188494742453286	0.0	0.0	0.941544292140134	0.0	0.0	0.9188494742453286	0.0	0.0	0.9579741379310345	0.0	0.07868360400128768	0.20595189523358526	0.038677749685676194	0.19568147899239696	0.17002947837518545	0.0628827874350876	0.12893647685672047	0.06881066646851294	0.0628827874350876	0.14533461621799093	0.06881066646851294	0.06290126797039251	0.12893647685672047	0.06881066646851294	0.06290126797039251	0.15143340709585998	0.07740375348527488
0.09	3.863987635239567E-4	0.32343848068006187	3.219989696032973E-5	0.3158407820710974	0.09319823317877336	3.863987635239567E-4	0.00967412055641422	0.08981070633693972	3.863987635239567E-4	0.009674119010819165	3.863987635239567E-4	3.863987635239567E-4	0.00967412055641422	3.863987635239567E-4	3.863987635239567E-4	4.004884080370943E-4	3.863987635239567E-4	0.0027397707697765714	0.6069019034072748	0.0021389284106280303	0.5598219098955223	0.08319646079118528	0.07284674280325974	0.1598546285818943	0.07280442645655348	0.07048454422047948	0.16661334490718388	0.07496777874930524	0.08586686441208916	0.1598546285818943	0.08404484764030241	0.08586686441208916	0.17524798598674712	0.08308235942569199	2.2522522522522523E-4	0.18501321794728615	0.11839339339339339	0.17349508824733825	0.08836087807351357	2.2522522522522523E-4	0.14840437918931404	2.2522522522522523E-4	2.2522522522522523E-4	0.1484713320294221	2.2522522522522523E-4	2.2522522522522523E-4	0.14840437918931404	2.2522522522522523E-4	2.2522522522522523E-4	0.020455165378267633	2.2522522522522523E-4	1.0141987829614606E-5	0.008472664928040184	4.056795131845842E-5	9.22920892494929E-4	0.008529889598776869	1.0141987829614606E-5	2.119824482263087E-5	1.0141987829614604E-4	1.0141987829614606E-5	2.119824482263087E-5	1.0141987829614604E-4	1.0141987829614606E-5	2.119824482263087E-5	1.0141987829614604E-4	1.0141987829614606E-5	2.119824482263087E-5	1.0141987829614604E-4	0.0	0.25538793103448276	0.9493534482758621	0.44956616451430453	0.08400436288272245	0.0	0.9223381700562228	0.0	0.0	0.9440267414437041	0.0	0.0	0.9223381700562228	0.0	0.0	0.9579854412828552	0.0	0.09736182143760246	0.22492425405722125	0.0428938556673182	0.2121959573539098	0.17849073057596548	0.06403489526501051	0.14698351730494352	0.07139095815034788	0.06403489526501051	0.15418275415218732	0.06993515374017953	0.06816949793732971	0.14698351730494352	0.07298725903330719	0.06816949793732971	0.15437964357185271	0.08536536828039258
